Id,Label,hh_size,head_age,landsalstat,weighted indegree,weighted outdegree,Weighted Degree,new_status,indegree,new_salaried,outdegree,Degree,new_land2,wealth_total_val_usd
BDSU001,,4,65,none,8,8,16,0,7,0,7,14,0,3103
BDSU006,,5,61,none,10,8,18,0,7,0,6,13,0,2132
BDSU011,,8,43,salstat,6,11,17,1,6,1,8,14,0,5093
BDSU042,,6,76,none,5,4,9,0,5,0,4,9,0,3757
BDSU049,,4,32,land,3,6,9,0,2,0,4,6,1,5429
BDSU059,,2,50,none,4,4,8,0,4,0,4,8,0,1192
BDSU079,,4,48,none,6,5,11,0,5,0,4,9,0,2930
BDSU002,,8,67,land,1,5,6,0,1,0,3,4,1,4224
BDSU024,,4,59,land,1,1,2,0,1,0,1,2,1,2959
BDSU003,,4,30,landsal,1,0,1,0,1,1,0,1,1,2112
BDSU016,,4,45,landsal,5,5,10,0,4,1,5,9,1,4293
BDSU004,,5,24,none,0,2,2,0,0,0,2,2,0,2837
BDSU036,,5,68,none,1,3,4,0,1,0,3,4,0,1055
BDSU063,,1,65,none,3,3,6,0,3,0,3,6,0,1164
BDSU005,,7,79,landstat,6,7,13,1,5,0,5,10,1,7023
BDSU045,,4,35,none,4,3,7,0,4,0,3,7,0,3207
BDSU056,,2,63,none,3,2,5,0,2,0,1,3,0,2368
BDSU076,,1,50,land,4,2,6,0,4,0,2,6,1,1436
BDSU012,,4,65,land,3,2,5,0,2,0,2,4,1,2884
BDSU007,,2,85,none,3,3,6,0,1,0,3,4,0,1845
BDSU018,,5,30,none,11,3,14,0,8,0,3,11,0,1120
BDSU008,,4,83,landstat,2,3,5,1,2,0,3,5,1,8023
BDSU009,,5,57,landsal,5,6,11,0,4,1,5,9,1,3844
BDSU046,,5,67,land,5,4,9,0,4,0,3,7,1,1429
BDSU067,,3,35,none,3,5,8,0,2,0,4,6,0,1359
BDSU050,,7,45,none,8,11,19,0,7,0,9,16,0,1630
BDSU010,,4,53,none,3,1,4,0,3,0,1,4,0,4406
BDSU043,,5,35,none,3,2,5,0,2,0,2,4,0,2058
BDSU013,,8,60,none,0,0,0,0,0,0,0,0,0,6084
BDSU014,,3,42,land,4,3,7,0,4,0,3,7,1,1596
BDSU015,,3,52,none,4,2,6,0,4,0,2,6,0,2236
BDSU039,,3,60,land,3,3,6,0,3,0,3,6,1,3533
BDSU051,,5,30,sal,1,2,3,0,1,1,1,2,0,1560
BDSU017,,3,34,none,8,6,14,0,8,0,6,14,0,1652
BDSU026,,4,55,land,4,3,7,0,3,0,2,5,1,1071
BDSU057,,5,45,landsal,4,6,10,0,3,1,4,7,1,1717
BDSU019,,5,27,none,3,1,4,0,3,0,1,4,0,960
BDSU047,,5,46,none,2,4,6,0,1,0,3,4,0,4390
BDSU020,,4,68,none,3,2,5,0,2,0,2,4,0,1959
BDSU029,,3,55,land,8,7,15,0,6,0,6,12,1,2049
BDSU021,,3,30,land,1,2,3,0,1,0,2,3,1,5765
BDSU025,,4,35,none,3,2,5,0,3,0,2,5,0,2118
BDSU048,,6,60,none,1,1,2,0,1,0,1,2,0,2012
BDSU022,,7,64,land,2,4,6,0,2,0,4,6,1,4244
BDSU032,,3,56,land,2,4,6,0,2,0,4,6,1,1486
BDSU062,,4,48,salstat,3,6,9,1,3,1,6,9,0,2545
BDSU070,,4,32,sal,3,2,5,0,3,1,2,5,0,718
BDSU023,,3,30,none,3,3,6,0,2,0,2,4,0,1865
BDSU027,,5,65,land,3,2,5,0,3,0,2,5,1,3281
BDSU055,,5,60,sal,6,8,14,0,4,1,6,10,0,3075
BDSU028,,6,60,stat,1,2,3,1,1,0,2,3,0,5989
BDSU030,,3,55,stat,5,2,7,1,3,0,2,5,0,1998
BDSU033,,3,40,none,5,5,10,0,3,0,2,5,0,3402
BDSU073,,6,69,none,5,6,11,0,3,0,3,6,0,3085
BDSU031,,5,49,land,2,2,4,0,2,0,2,4,1,2988
BDSU035,,8,71,land,1,2,3,0,1,0,2,3,1,4715
BDSU034,,5,70,landsal,6,6,12,0,6,1,5,11,1,3503
BDSU053,,4,28,none,3,2,5,0,3,0,2,5,0,1176
BDSU064,,6,37,land,5,4,9,0,5,0,4,9,1,1832
BDSU037,,2,45,none,3,4,7,0,3,0,4,7,0,2552
BDSU038,,4,55,land,5,4,9,0,4,0,3,7,1,1660
BDSU041,,3,45,none,3,0,3,0,3,0,0,3,0,407
BDSU040,,2,50,sal,3,3,6,0,2,1,2,4,0,1086
BDSU058,,4,60,none,1,1,2,0,1,0,1,2,0,1686
BDSU052,,2,56,none,4,4,8,0,3,0,3,6,0,1600
BDSU054,,1,50,land,3,3,6,0,3,0,3,6,1,1779
BDSU060,,6,50,none,7,5,12,0,6,0,5,11,0,3627
BDSU078,,5,53,land,2,2,4,0,2,0,2,4,1,3031
BDSU065,,3,44,salstat,4,7,11,1,2,1,4,6,0,2198
BDSU061,,4,60,sal,2,2,4,0,2,1,2,4,0,3222
BDSU066,,4,26,sal,6,5,11,0,4,1,4,8,0,1848
BDSU068,,3,56,none,8,3,11,0,5,0,3,8,0,449
BDSU077,,2,25,sal,4,7,11,0,3,1,4,7,0,1715
BDSU072,,5,28,none,3,2,5,0,3,0,1,4,0,2117
BDSU069,,5,60,sal,3,6,9,0,3,1,5,8,0,1475
BDSU071,,1,80,none,3,3,6,0,3,0,3,6,0,1068
BDSU074,,1,55,landstat,3,2,5,1,1,0,1,2,1,1608
BDSU075,,7,59,landstat,2,4,6,1,1,0,2,3,1,3678
BDSU044,,4,40,none,0,0,0,0,0,0,0,0,0,3647
